Listing Name,Price,Room Type,Reviews,Location
Your Prospect Heights Garden Oasis!,218,Entire home/apt,35 reviews,"Prospect Heights, Brooklyn"
PRIVATE and SUNNY Williamsburg Apt!,180,Entire home/apt,144 reviews,"Williamsburg, Brooklyn"
Hip/Trendy Brooklyn Loft Apartment.,52,Private room,7 reviews,"Bedford-Stuyvesant, Brooklyn"
The Library Loft's White Room,78,Private room,18 reviews,"Williamsburg, Brooklyn"
"Private, well-lit room in Bed-Stuy!",52,Private room,6 reviews,"Bedford-Stuyvesant, Brooklyn"
Sunny WILLIAMSBURG. Home Sweet Home,258,Entire home/apt,79 reviews,"Williamsburg, Brooklyn"
PENTHOUSE DUPLEX WITH HUGE TERRACE!,258,Entire home/apt,1 review,"Williamsburg, New York"
Gorgeous private NYC 2 BD duplex,177,Entire home/apt,9 reviews,"Bedford-Stuyvesant, Brooklyn"
Park Slope Private Room and Bath,84,Private room,28 reviews,"Park Slope, Brooklyn"
PENTHOUSE DUPLEX WITH HUGE TERRACE!,258,Entire home/apt,1 review,"Williamsburg, New York"
Gorgeous private NYC 2 BD duplex,177,Entire home/apt,9 reviews,"Bedford-Stuyvesant, Brooklyn"
Park Slope Private Room and Bath,84,Private room,28 reviews,"Park Slope, Brooklyn"
Luxury Flat with Balcony & Office,323,Entire home/apt,18 reviews,"DUMBO, Brooklyn"
Modern Bedroom in Williamsburg Loft,115,Private room,35 reviews,"Williamsburg, Brooklyn"
1 Bedroom Brownstone Jewel Box,128,Entire home/apt,9 reviews,"Clinton Hill, Brooklyn"
Clinton Hill Charmer,103,Private room,3 reviews,"Clinton Hill, Brooklyn"
Trendy 1 bdr Prospect Heights BKLYN,84,Private room,49 reviews,"Crown Heights, Brooklyn"
ingefära hus! Williamsburg Center,132,Private room,87 reviews,"Williamsburg, Brooklyn"
Amazing Room—Private Bath/Backyard,128,Private room,28 reviews,"Greenpoint, Greenpoint, Brooklyn"
2 BR loft on charming tree-lined St,258,Entire home/apt,9 reviews,"Carroll Gardens, Brooklyn"
Spacious Heart of Ft. Greene Studio,129,Entire home/apt,31 reviews,"Fort Greene, Brooklyn"
Beautiful room off Bedford ave.,76,Private room,50 reviews,"Williamsburg, Brooklyn"
Modern One bedroom in Williamsburg,336,Entire home/apt,10 reviews,"Greenpoint, Brooklyn"
Brooklyn - Boerum Hill Beauty,258,Entire home/apt,6 reviews,"Boerum Hill, Brooklyn"
"NYC, Modern & Comfortable. THE ONE",257,Entire home/apt,54 reviews,"Williamsburg, Brooklyn"
Big Room 10 Min from Manhattan,141,Private room,8 reviews,"Bushwick, Brooklyn"
"Sunny Private Room,Williamsburg Pad",90,Private room,24 reviews,"Williamsburg, Brooklyn"
